Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Extracurricular_Activities,Sleep_Hours,Exam_Score,Motivation_Level,Internet_Access,Tutoring_Sessions,Family_Income,Teacher_Quality,School_Type,Peer_Influence,Physical_Activity,Learning_Disabilities,Parental_Education_Level,Distance_from_Home,Gender,Previous_Scores,Student_ID
27,89,5.48,8.17,Yes,6,89,4.63,Yes,3,4707.07,5.23,Private,Positive,3,No,High School,Near,Male,74,51414
26,94,5.89,8.28,No,5,79,7.77,Yes,1,4234.5,8.06,Public,Positive,2,No,Postgraduate,Near,Male,74,92970
24,66,4.85,2.33,No,9,82,0.93,Yes,1,6432.41,5.73,Public,Neutral,2,Yes,High School,Near,Female,62,26246
18,78,7.91,3.26,Yes,5,77,4.81,No,2,6817.3,4.24,Public,Neutral,4,No,High School,Far,Male,66,26916
25,76,5.7,3.29,Yes,5,89,7.68,Yes,3,5118.02,7.36,Public,Neutral,3,No,High School,Far,Female,69,31348
15,87,4.73,9.84,Yes,10,52,6.8,Yes,2,1164.22,9.84,Private,Positive,3,No,College,Near,Male,68,72371
19,70,4.65,2.66,No,7,54,7.24,Yes,0,5046.09,4.24,Public,Positive,2,Yes,High School,Moderate,Male,89,34970
17,86,8.39,1.18,No,5,55,0.62,No,2,7497.45,5.61,Private,Neutral,4,No,College,Near,Male,66,43416
20,95,1.57,3.98,Yes,7,64,2.56,No,2,4576.44,7.7,Public,Neutral,3,No,High School,Near,Female,68,68648
34,77,4.4,2.85,Yes,7,80,0.42,Yes,0,5582.56,6.11,Public,Positive,3,No,High School,Near,Male,69,85841
9,96,5.73,3.14,Yes,4,82,8.94,No,0,4209.39,5.49,Public,Positive,4,No,College,Near,Male,67,41696
24,100,8.97,8.14,Yes,6,86,2.89,Yes,2,5688.17,6.53,Private,Positive,5,No,High School,Near,Male,75,44042
10,64,4.22,9.07,No,7,64,9.62,Yes,0,4503.04,5.38,Public,Positive,4,Yes,High School,Moderate,Female,60,65882
17,69,7.68,4.66,Yes,9,83,3.65,Yes,2,5426.41,7.88,Private,Positive,4,Yes,College,Moderate,Female,66,73386
27,98,2.54,9.94,Yes,7,56,2.03,Yes,1,8294.8,6.14,Private,Positive,3,No,College,Near,Female,73,59579
20,98,4.39,2.28,No,7,50,0.62,Yes,1,6425.22,7.35,Private,Neutral,2,No,High School,Near,Female,68,66540
14,64,4.34,3.45,Yes,6,85,7.0,Yes,0,6092.5,4.2,Public,Neutral,3,No,High School,Near,Male,62,57704
16,61,4.36,4.99,No,9,86,0.85,Yes,2,1247.22,8.03,Public,Positive,2,No,High School,Near,Male,62,13337
24,66,8.29,1.02,Yes,8,81,7.13,Yes,1,5760.8,6.73,Public,Neutral,4,No,High School,Far,Male,65,66034
16,100,8.12,1.79,Yes,8,63,7.39,Yes,2,3850.02,4.19,Public,Negative,3,No,High School,Moderate,Male,69,98395
21,67,5.19,3.68,No,7,96,1.01,Yes,3,1220.19,4.87,Public,Neutral,2,No,High School,Far,Female,64,57654
20,80,4.89,9.88,No,5,94,5.97,Yes,0,1240.86,3.59,Private,Positive,4,Yes,Postgraduate,Moderate,Female,67,57041
16,94,7.24,8.27,Yes,9,76,5.51,Yes,0,1318.75,8.08,Public,Neutral,2,No,High School,Near,Male,70,58393
33,61,4.88,4.98,No,7,99,9.3,Yes,2,4782.26,7.97,Public,Neutral,3,No,College,Near,Female,70,39624
24,84,7.06,1.95,No,7,65,1.37,Yes,3,6911.2,9.86,Public,Positive,3,No,High School,Near,Female,69,85493
8,71,8.29,1.73,No,8,75,5.88,Yes,0,5771.76,10.0,Public,Positive,3,No,High School,Near,Male,61,33404
21,94,5.17,4.07,No,7,96,1.23,Yes,0,6094.84,4.85,Private,Neutral,2,Yes,Postgraduate,Moderate,Male,69,58829
16,71,7.9,4.23,Yes,5,73,4.98,Yes,1,4172.03,5.4,Public,Neutral,0,Yes,High School,Near,Male,63,73922
25,87,4.64,1.52,Yes,7,74,0.6,Yes,0,5257.09,9.04,Public,Neutral,4,Yes,High School,Near,Male,67,14858
15,87,2.16,4.97,No,4,54,5.53,Yes,1,6191.5,5.81,Public,Neutral,6,No,,Moderate,Male,65,63220
19,69,4.01,4.28,Yes,7,61,9.94,Yes,3,7338.87,8.93,Public,Neutral,4,No,High School,Moderate,Male,66,32352
23,61,1.12,3.25,No,9,58,3.23,Yes,4,4864.49,4.37,Public,Neutral,2,No,High School,Near,Male,63,22630
25,76,4.03,9.72,Yes,4,78,3.15,Yes,2,6632.38,6.71,Private,Negative,3,No,High School,Moderate,Female,68,41589
13,72,7.17,7.04,No,7,66,4.8,Yes,0,1169.03,8.77,Public,Neutral,4,No,Postgraduate,Near,Male,65,18707
18,92,1.03,3.09,Yes,8,54,4.93,Yes,1,4884.26,5.32,Public,Positive,3,No,High School,Near,Male,67,76220
17,92,1.45,1.7,Yes,8,75,4.85,Yes,2,6692.51,9.8,Public,Neutral,3,No,Postgraduate,Near,Female,68,62820
16,78,6.0,9.96,No,6,83,6.37,Yes,0,3303.93,3.39,Public,Neutral,3,Yes,College,Near,Male,64,79346
31,84,4.32,4.46,No,5,87,8.03,Yes,0,6031.43,6.28,Private,Positive,3,No,College,Moderate,Male,71,59077
22,84,4.29,3.37,Yes,6,92,2.59,Yes,0,6451.59,6.45,Public,Neutral,5,No,High School,Near,Female,69,93335
12,93,4.52,3.48,Yes,9,74,0.42,Yes,1,4815.75,5.61,Public,Neutral,3,No,Postgraduate,Moderate,Male,67,14203
26,77,1.37,3.62,No,4,70,1.78,Yes,2,9041.01,0.64,Public,Neutral,3,Yes,College,Moderate,Female,65,53781
33,71,1.06,4.27,No,5,84,6.76,Yes,1,6551.0,4.54,Public,Positive,2,No,High School,Near,Male,68,58336
26,71,8.42,4.02,Yes,6,51,1.73,No,1,7977.79,6.44,Private,Positive,3,No,Postgraduate,Moderate,Male,67,71564
11,81,5.8,3.13,Yes,6,82,8.89,Yes,3,4160.82,8.41,Public,Neutral,4,No,High School,Near,Male,67,94188
17,78,5.7,7.2,Yes,7,70,4.22,No,2,1823.52,8.93,Public,Positive,3,No,High School,Near,Male,66,92467
28,78,7.57,3.66,No,9,73,9.19,Yes,2,6459.93,6.34,Public,Neutral,4,No,College,Moderate,Female,70,11952
16,64,7.15,2.1,Yes,5,65,5.71,Yes,3,6049.38,9.74,Private,Positive,4,No,Postgraduate,Moderate,Female,65,63303
23,89,2.64,2.53,Yes,7,56,2.87,Yes,4,6682.73,2.51,Private,Positive,4,No,Postgraduate,Near,Female,69,18351
25,69,5.98,4.4,Yes,7,70,2.11,No,1,9573.7,8.86,Public,Positive,4,No,High School,Far,Female,65,69276
14,68,8.32,4.92,No,6,65,4.97,Yes,1,9201.39,4.86,Public,Neutral,3,Yes,College,Near,Male,63,90606
20,77,4.45,4.28,No,5,98,2.96,Yes,2,2367.74,7.06,Private,Neutral,2,No,Postgraduate,Far,Female,67,79931
1,69,7.52,3.88,Yes,6,97,4.06,Yes,1,4594.14,6.15,Public,Positive,3,No,High School,Near,Female,61,39037
14,83,5.17,1.12,Yes,6,82,4.53,Yes,0,5698.55,5.67,Public,Positive,2,No,High School,Near,Female,65,85264
18,75,2.67,8.26,Yes,8,95,4.24,Yes,1,1710.35,1.2,Public,Neutral,2,No,College,Near,Female,66,61627
13,78,5.47,8.03,Yes,8,88,9.68,Yes,0,7951.86,1.68,Public,Neutral,3,No,College,Near,Male,66,65359
30,81,4.28,2.67,Yes,5,67,6.05,Yes,1,9614.31,8.88,Public,Negative,1,No,High School,Near,Male,69,18769
11,68,5.02,4.39,No,6,80,6.78,Yes,2,5909.36,4.03,Public,Positive,3,No,College,Moderate,Female,63,30166
17,66,1.81,9.24,No,6,61,6.74,Yes,1,7427.1,5.21,Public,Positive,6,No,Postgraduate,Near,Male,65,73578
21,95,2.71,1.79,No,10,84,2.43,Yes,0,7363.78,6.2,Public,Neutral,4,Yes,High School,Near,Male,67,96263
29,77,8.26,7.57,Yes,7,52,6.19,Yes,2,8892.5,5.16,Public,Negative,3,Yes,High School,Near,Female,69,61496
11,76,1.47,4.33,Yes,5,92,3.18,Yes,4,6053.81,1.21,Public,Negative,2,No,Postgraduate,Near,Male,65,97332
27,61,4.02,4.44,No,6,79,5.44,Yes,1,1891.05,4.61,Public,Positive,3,No,High School,Moderate,Male,65,85629
20,80,8.51,2.89,Yes,6,53,6.55,Yes,0,4980.99,6.92,Public,Neutral,2,No,College,Moderate,Male,65,99395
14,82,5.08,9.94,Yes,8,94,1.34,Yes,2,2756.8,9.8,Public,Negative,5,No,College,Far,Female,67,50518
23,82,2.94,3.8,Yes,8,94,3.03,Yes,1,5542.29,4.39,Public,Negative,2,Yes,High School,,Male,66,35466
21,88,5.67,9.91,No,7,93,4.34,Yes,4,3224.95,5.59,Public,Positive,3,No,High School,Near,Female,72,68499
16,67,4.19,7.35,No,7,89,7.51,Yes,3,2097.89,5.34,Public,Positive,3,No,College,Near,Male,66,46939
20,70,4.21,4.22,Yes,7,84,0.44,No,2,6274.31,8.08,Private,Neutral,4,No,College,Far,Male,65,79864
18,92,7.39,3.85,Yes,7,70,5.83,Yes,1,1439.61,4.56,Public,Neutral,3,No,High School,Moderate,Male,69,79910
21,98,4.21,1.73,No,4,57,5.35,Yes,2,9299.04,2.55,Public,Neutral,2,No,High School,Near,Female,68,51500
24,65,4.64,2.87,No,7,64,2.32,Yes,1,7505.52,5.62,Public,Neutral,1,No,Postgraduate,Near,Male,64,35645
30,80,2.17,7.94,No,6,67,4.28,Yes,3,4913.82,5.44,Public,Negative,4,No,College,Moderate,Female,69,39335
13,69,5.69,2.72,Yes,5,68,0.19,Yes,0,8507.35,5.86,Public,Positive,1,Yes,High School,Moderate,Female,59,37963
33,62,7.54,4.87,Yes,10,78,6.58,Yes,0,5090.03,6.2,Private,Positive,3,No,High School,Moderate,Female,68,72324
8,73,5.85,4.35,No,7,60,5.4,No,0,8195.11,6.36,Private,Neutral,3,No,High School,Near,Female,60,23307
19,66,4.16,7.64,No,7,59,3.62,Yes,1,7716.07,5.34,Public,Negative,3,No,High School,Far,Male,62,98324
24,88,1.46,3.34,Yes,6,86,0.09,Yes,0,4857.0,3.29,Public,Negative,3,No,College,Near,Male,67,11053
22,81,1.61,8.26,Yes,8,50,8.31,Yes,4,5162.75,6.42,Private,Positive,5,No,High School,Far,Female,68,37858
16,66,4.96,7.94,Yes,5,57,7.71,Yes,3,4168.53,6.29,Public,Positive,3,No,High School,Moderate,Female,64,38960
19,60,4.3,8.37,Yes,7,72,9.22,Yes,3,3720.02,8.23,Public,Positive,3,No,High School,Moderate,Female,65,47808
17,92,1.29,2.03,Yes,6,57,6.1,Yes,2,6431.89,6.73,Private,Positive,2,Yes,High School,Moderate,Female,65,18980
16,67,7.09,4.45,No,8,98,6.52,Yes,0,3348.02,1.87,Public,Neutral,3,No,High School,Near,Female,63,98007
25,84,5.83,1.62,Yes,6,84,2.3,Yes,2,6920.67,7.31,Public,Positive,3,No,High School,Near,Male,70,54491
22,73,1.56,3.25,Yes,9,72,2.2,Yes,3,4525.33,4.56,Public,Positive,3,No,High School,Near,Female,66,69132
16,83,4.91,7.8,Yes,7,56,2.09,Yes,4,8707.86,5.92,Public,Positive,3,No,High School,Near,Female,68,42062
25,73,2.81,2.1,No,8,69,3.03,Yes,3,4847.7,6.71,Private,Positive,3,No,High School,Near,Female,66,51373
22,63,1.07,2.09,No,8,83,5.17,Yes,3,4591.76,4.79,Private,Negative,1,No,College,Near,Male,63,10319
25,69,7.93,3.69,Yes,9,98,3.68,Yes,1,4411.71,6.91,Public,Negative,3,Yes,College,Moderate,Female,66,66521
24,68,5.42,4.87,Yes,6,74,6.45,Yes,1,4119.29,4.93,Public,Neutral,3,No,High School,Near,Female,65,82761
15,77,4.76,4.55,Yes,8,85,8.09,Yes,1,3819.02,6.09,Public,Positive,2,No,Postgraduate,Moderate,Male,66,30871
17,86,7.05,2.58,Yes,4,60,8.15,Yes,2,9951.37,1.56,Private,Positive,3,Yes,College,Moderate,Female,67,79372
24,71,4.03,4.27,Yes,7,81,4.21,Yes,0,2050.75,5.09,Private,Positive,3,No,High School,Near,Male,66,44142
24,60,2.24,4.74,No,6,62,8.45,Yes,4,1573.32,8.72,Public,Negative,3,No,High School,Near,Female,63,86468
20,81,4.59,4.42,Yes,5,60,1.87,Yes,3,6558.13,4.68,Public,Positive,4,Yes,High School,Near,Male,66,55036
21,84,4.29,4.52,No,6,75,1.56,No,1,9181.79,6.79,Public,Positive,3,No,College,Moderate,Male,67,15114
28,99,5.23,4.21,Yes,6,61,3.62,No,1,4669.96,6.71,Public,Positive,3,No,High School,Near,Male,71,26874
16,84,4.87,9.31,Yes,7,86,6.56,Yes,1,1476.14,4.24,Private,Neutral,2,No,High School,Near,Female,67,74650
23,79,5.13,8.02,Yes,6,97,4.44,Yes,1,8563.5,3.12,Public,Neutral,4,No,High School,Moderate,Male,69,10829
19,83,4.21,3.34,Yes,7,70,5.7,Yes,2,2151.46,6.14,Public,Negative,4,Yes,Postgraduate,Near,Female,67,29944
19,97,8.8,4.77,Yes,6,66,9.49,Yes,2,4012.15,6.3,Private,Positive,2,No,College,Moderate,Female,72,74975
27,93,8.88,1.42,No,6,59,9.25,Yes,2,2276.04,4.07,Private,Negative,4,No,High School,Near,Female,70,19716
25,73,5.13,9.84,Yes,7,70,0.22,Yes,0,1000.94,6.3,Private,Neutral,4,No,Postgraduate,Moderate,Male,67,44813
25,69,2.68,7.49,Yes,7,78,6.73,Yes,0,4140.64,9.32,Public,Negative,3,No,High School,Far,Female,64,24918
28,71,4.78,4.64,No,8,69,8.52,Yes,1,5839.24,7.48,Private,Neutral,1,No,College,Moderate,Female,67,84434
20,80,2.75,7.71,No,8,81,3.83,Yes,3,6792.89,5.26,Private,Negative,4,No,Postgraduate,Near,Male,69,85812
24,90,1.03,2.09,No,7,83,5.41,Yes,0,2375.1,4.74,Private,Positive,3,No,College,,Male,68,64859
18,80,4.93,3.17,No,8,55,0.19,Yes,2,1340.94,1.37,Public,Neutral,3,No,High School,Moderate,Male,63,18871
22,63,5.34,7.95,Yes,7,85,6.31,Yes,4,8232.57,7.28,Public,Negative,3,No,College,Near,Female,68,43274
19,89,8.57,3.38,Yes,7,95,6.04,Yes,0,5670.61,4.56,Public,Positive,3,No,High School,Near,Male,70,17776
21,92,4.21,2.03,Yes,8,51,2.52,Yes,0,6419.55,5.31,Public,Neutral,2,No,College,Moderate,Male,66,22741
24,72,8.73,9.28,No,6,78,8.81,Yes,0,4080.72,9.54,Public,Negative,6,No,High School,Near,Female,68,89513
15,87,8.93,2.02,Yes,4,80,7.17,Yes,0,1585.72,4.91,Private,Positive,3,No,College,Near,Male,67,70484
33,77,2.06,9.0,Yes,5,85,5.24,Yes,0,3850.31,6.07,Private,Neutral,5,No,High School,Far,Female,69,38072
14,96,4.08,1.01,Yes,9,69,9.68,Yes,0,4242.47,5.92,Private,Negative,3,Yes,College,Near,Female,66,33335
13,94,5.03,4.14,Yes,7,91,2.94,Yes,3,1517.49,5.72,Public,Neutral,3,No,High School,Near,Male,68,44971
27,81,5.56,3.72,Yes,7,77,3.58,Yes,2,6297.06,2.27,Public,Neutral,2,Yes,Postgraduate,Moderate,Female,69,83321
25,88,5.62,4.45,Yes,7,70,1.67,Yes,1,5685.58,4.14,Private,Positive,3,No,Postgraduate,Moderate,Male,70,41010
24,95,5.77,7.32,Yes,8,86,8.67,Yes,1,4367.12,9.67,Private,Neutral,3,No,College,Near,Male,74,48037
24,80,5.19,8.42,Yes,7,96,7.6,Yes,0,2439.31,7.31,Public,Positive,0,No,College,Moderate,Female,70,87735
20,73,4.17,3.02,Yes,7,91,0.32,Yes,1,4654.13,9.57,Public,Neutral,2,No,Postgraduate,Moderate,Male,66,82139
15,90,8.15,3.68,Yes,8,97,5.24,Yes,1,1434.63,9.59,Private,Negative,3,No,College,Near,Female,69,99025
20,69,5.39,8.96,No,6,63,2.71,Yes,0,4482.66,5.91,Public,Negative,3,No,Postgraduate,Near,Male,64,72160
16,76,1.15,7.36,Yes,8,56,3.95,No,1,2065.64,6.12,Public,Positive,1,No,High School,Near,Male,62,21759
26,95,2.5,8.79,No,7,77,4.73,Yes,0,6683.69,6.36,Public,Neutral,3,No,High School,Moderate,Female,70,55410
19,89,7.54,4.1,Yes,7,52,4.53,Yes,2,5666.48,5.75,Public,Negative,4,No,High School,Moderate,Male,68,68688
15,76,4.32,4.79,Yes,6,84,2.59,Yes,0,5356.8,7.01,Public,Neutral,3,No,College,Near,Female,65,56521
18,69,7.83,8.35,No,7,62,2.37,Yes,3,6689.76,4.87,Public,Positive,3,No,High School,Moderate,Male,65,96717
22,74,8.18,7.19,Yes,6,73,1.84,Yes,3,7480.35,8.61,Public,Positive,4,No,Postgraduate,Moderate,Female,71,19425
17,71,7.81,4.93,Yes,9,83,1.3,Yes,2,4737.59,5.79,Public,Neutral,5,No,High School,Near,Male,66,67628
15,67,5.26,3.1,No,4,74,3.99,Yes,0,3457.65,5.21,Public,Negative,3,No,College,Moderate,Male,61,47312
21,90,1.32,4.99,Yes,8,62,2.66,Yes,2,6583.51,8.15,Public,Negative,5,Yes,High School,Near,Male,67,88415
21,70,1.75,7.2,Yes,4,94,4.25,Yes,0,1030.5,7.42,Private,Neutral,2,No,College,Far,Male,65,32936
17,78,5.28,7.14,No,8,88,5.86,Yes,0,4262.74,5.76,Public,Negative,3,No,High School,Near,Female,65,14825
17,75,5.19,8.21,Yes,6,80,3.19,No,1,3900.08,4.15,Private,Positive,5,No,High School,Moderate,Male,65,38240
21,99,4.28,4.79,No,8,85,8.01,Yes,4,6222.5,6.65,Public,Positive,4,No,High School,Moderate,Male,73,58682
11,76,5.81,3.2,Yes,7,71,6.28,No,1,4741.68,2.14,Public,Neutral,2,No,College,Near,Male,62,26169
12,63,5.57,8.66,Yes,5,69,1.06,Yes,0,4178.67,8.03,Public,Negative,2,No,College,Moderate,Female,60,82105
16,64,1.79,3.78,Yes,9,58,0.73,Yes,1,4262.56,4.84,Public,Positive,3,No,College,Moderate,Female,61,59348
19,84,2.44,3.44,Yes,8,90,7.26,Yes,2,1522.86,6.18,Private,Neutral,3,No,Postgraduate,Far,Male,67,62694
22,84,7.7,4.03,No,8,69,5.14,No,3,4361.16,9.21,Private,Neutral,4,No,College,Near,Male,70,66560
29,77,1.53,8.65,No,6,85,4.71,Yes,1,5794.02,4.71,Public,Positive,1,No,College,Near,Male,69,14119
25,77,5.84,2.28,Yes,8,65,9.73,No,0,4978.64,6.24,Public,Positive,5,No,College,Far,Female,66,83811
19,62,5.24,4.38,No,5,90,2.86,Yes,2,3146.47,8.58,Public,Positive,3,No,College,Moderate,Male,64,10348
20,81,8.75,3.53,Yes,4,55,5.91,Yes,1,9917.6,5.2,Private,Positive,2,No,Postgraduate,Moderate,Male,68,47870
14,80,7.97,4.17,Yes,5,81,6.56,Yes,1,1654.82,5.51,Public,Positive,4,No,Postgraduate,Far,Female,67,58211
20,66,5.49,4.72,No,6,90,9.35,Yes,0,6543.81,5.62,Public,Neutral,1,No,College,Near,Female,64,12736
18,64,4.76,3.47,Yes,6,83,9.33,Yes,2,4482.32,4.61,Public,Positive,2,No,College,Near,Male,65,22808
22,65,2.82,8.42,Yes,6,85,5.95,Yes,2,8430.49,4.97,Public,Positive,3,Yes,Postgraduate,Near,Female,66,46838
15,64,5.37,3.78,Yes,6,76,9.19,Yes,2,5776.52,5.44,Private,Positive,4,Yes,High School,,Female,63,12811
23,84,8.08,3.97,Yes,6,78,1.83,Yes,2,4079.68,1.23,Public,Negative,2,No,High School,Moderate,Female,68,46613
29,68,4.7,7.22,Yes,4,53,4.97,Yes,1,5705.09,4.02,Private,Negative,4,No,High School,Far,Male,66,47148
19,70,5.2,4.66,No,7,63,2.11,No,3,4360.26,3.83,Public,Neutral,5,No,High School,Near,Male,63,88754
22,67,1.26,4.45,No,7,86,2.31,Yes,1,3355.02,5.83,Public,Positive,3,No,High School,Moderate,Female,63,97535
24,98,7.89,3.83,Yes,6,97,5.04,Yes,1,5998.5,6.44,Public,Positive,4,No,College,Far,Male,74,69251
18,94,4.66,9.44,Yes,9,77,2.65,Yes,1,6296.61,8.27,Public,Positive,2,No,College,Moderate,Male,70,12973
21,69,7.73,9.46,Yes,7,86,4.95,Yes,2,2144.43,6.9,Private,Neutral,3,No,High School,Near,Male,68,43685
20,73,4.58,3.51,Yes,7,84,5.09,Yes,0,4562.26,5.54,Public,Neutral,4,No,Postgraduate,Moderate,Female,66,12663
21,68,5.89,1.53,No,8,100,1.76,Yes,0,5740.45,5.67,Public,Positive,4,No,High School,Far,Male,63,74196
15,80,1.48,8.63,No,5,90,3.38,Yes,4,3394.36,5.82,Public,Positive,3,No,College,Far,Female,67,67251
20,61,4.09,4.14,No,7,81,6.46,Yes,1,5966.29,0.23,Public,Neutral,3,No,High School,Moderate,Male,62,56144
23,87,7.76,9.3,No,8,56,4.06,Yes,1,4820.12,7.38,Public,Positive,3,No,Postgraduate,Moderate,Male,71,81422
29,81,7.11,4.5,No,7,68,5.39,Yes,2,4401.14,6.35,Public,Neutral,4,No,Postgraduate,Near,Male,72,66877
26,96,4.81,4.88,Yes,5,63,6.35,No,1,7269.68,5.23,Private,Positive,2,No,Postgraduate,Near,Male,72,29244
33,67,4.92,4.47,Yes,6,93,7.19,Yes,0,4136.74,8.67,Public,Neutral,3,No,High School,Far,Female,68,99108
15,92,4.63,2.81,Yes,7,72,1.19,Yes,1,6602.42,5.33,Public,Negative,5,No,High School,Near,Female,66,41390
25,92,4.0,3.99,No,4,77,4.28,Yes,0,1468.08,6.24,Public,Positive,3,No,High School,Near,Male,70,45973
21,65,4.46,2.11,Yes,5,98,7.15,No,2,2990.65,4.3,Private,Positive,4,No,Postgraduate,Near,Male,66,73126
33,76,5.93,4.87,Yes,10,92,1.03,Yes,1,8314.53,4.55,Private,Positive,3,No,Postgraduate,Near,Female,72,52954
15,67,8.8,3.62,Yes,8,89,1.88,Yes,0,9475.98,8.49,Public,Neutral,4,No,High School,Moderate,Female,64,91145
15,70,8.13,3.04,No,9,57,5.19,Yes,1,5880.3,4.04,Private,Negative,3,No,High School,,Female,63,85657
16,71,4.63,3.13,No,8,51,3.52,Yes,0,3319.97,4.23,Public,Negative,2,No,Postgraduate,Far,Female,61,14415
7,82,8.15,8.96,Yes,8,56,5.9,Yes,0,2313.45,4.66,Private,Negative,2,No,High School,Far,Male,62,21601
17,76,5.36,7.95,No,7,87,7.55,Yes,1,4134.33,8.03,Public,Positive,4,No,High School,Near,Female,68,67162
15,98,2.4,3.71,Yes,8,71,1.97,Yes,1,5548.76,6.83,Public,Positive,3,No,High School,Near,Male,68,88799
21,65,2.3,3.43,No,9,56,9.71,Yes,1,4633.93,4.65,Public,Positive,5,No,High School,Moderate,Male,63,83109
22,99,5.21,1.89,Yes,8,87,0.13,Yes,1,5811.08,6.32,Private,Neutral,4,No,High School,Moderate,Female,70,13725
31,69,7.08,2.04,Yes,7,60,4.78,Yes,1,4093.76,6.88,Public,Neutral,3,No,Postgraduate,Near,Female,68,78438
26,91,7.82,4.65,Yes,7,79,6.46,Yes,1,4093.22,4.49,Private,Neutral,5,No,High School,Near,Female,72,87674
17,74,4.35,4.03,Yes,8,87,6.69,Yes,4,3029.64,3.81,Public,Positive,3,No,College,Near,Male,67,29647
15,66,2.91,7.12,No,6,80,6.9,No,1,4935.6,5.9,Private,Neutral,1,No,College,Near,Male,61,11244
23,94,2.9,3.94,No,8,100,5.06,No,0,2600.14,5.69,Public,Neutral,3,No,Postgraduate,Near,Male,69,62042
12,72,4.29,2.13,Yes,6,72,9.31,Yes,2,4125.38,8.14,Private,Negative,2,No,High School,Moderate,Female,61,57077
31,86,8.58,8.27,Yes,6,66,5.13,Yes,3,4019.79,4.73,Public,Positive,3,No,College,Moderate,Male,75,79578
27,83,7.17,1.41,No,5,60,4.51,Yes,0,8455.79,3.7,Public,Neutral,2,No,College,Moderate,Female,68,40503
17,79,5.56,1.46,Yes,6,75,2.96,Yes,1,4654.26,8.58,Public,Neutral,4,No,High School,Near,Male,65,90883
10,80,8.47,4.94,Yes,6,93,9.33,Yes,4,5604.11,0.0,Public,Negative,3,No,College,Moderate,Female,67,55692
28,89,5.84,8.78,Yes,10,97,7.06,Yes,3,6441.81,1.08,Public,Negative,6,No,High School,Near,Female,75,28985
19,64,2.34,3.42,No,6,99,4.76,Yes,1,4119.07,6.96,Public,Positive,3,No,College,Near,Male,64,22973
27,87,4.01,3.75,No,8,77,5.94,Yes,1,3251.91,9.45,Public,Neutral,4,No,High School,Moderate,Male,70,73835
10,96,8.88,7.76,No,6,80,6.93,No,0,4703.53,4.11,Public,Neutral,4,No,High School,Moderate,Female,67,41212
16,62,5.86,4.6,Yes,7,79,1.28,Yes,2,4103.44,5.81,Public,Neutral,3,No,High School,Near,Male,63,63505
20,66,8.86,7.41,No,7,73,3.03,Yes,1,6708.43,4.56,Public,Negative,4,No,College,,Female,65,89785
20,89,5.14,4.75,Yes,4,58,4.21,Yes,1,5013.22,4.2,Public,Positive,3,No,High School,Far,Female,67,28291
17,77,1.7,8.15,Yes,5,53,3.7,Yes,2,8858.67,5.17,Public,Neutral,3,No,College,Near,Male,86,11746
24,76,2.93,9.33,No,6,72,7.48,Yes,3,4024.35,7.97,Public,Neutral,3,Yes,High School,Moderate,Female,67,79896
14,65,8.0,3.04,No,5,59,2.26,Yes,1,9332.38,5.63,Public,Positive,4,No,Postgraduate,Far,Male,63,27351
19,80,4.16,3.32,No,7,94,4.38,Yes,0,4339.85,1.3,Public,Neutral,3,No,College,Moderate,Female,66,20770
21,65,7.63,8.32,No,7,88,0.15,Yes,2,4532.29,6.02,Private,Neutral,1,No,,Near,Male,65,84020
23,79,4.41,4.38,No,5,81,4.18,Yes,1,4792.76,5.81,Private,Neutral,3,No,High School,Near,Female,67,22106
24,91,5.4,3.45,No,7,52,0.49,Yes,0,7827.77,9.37,Public,Neutral,4,No,College,Near,Male,69,94864
13,70,7.32,7.94,No,6,81,6.76,Yes,2,6741.43,3.29,Public,Positive,2,No,Postgraduate,Near,Male,66,86928
11,79,4.27,3.75,Yes,7,81,5.22,Yes,1,9657.89,6.22,Public,Neutral,2,No,High School,Moderate,Male,64,50785
28,100,7.85,1.27,Yes,6,72,4.27,Yes,1,4159.61,6.82,Public,Negative,2,No,Postgraduate,Near,Female,73,55444
22,87,2.23,3.75,No,8,83,2.25,Yes,1,1441.33,6.53,Public,Neutral,1,No,College,Far,Male,66,74059
16,94,4.92,3.28,No,9,93,1.18,Yes,1,2542.14,4.46,Public,Negative,4,No,Postgraduate,Near,Female,68,28491
29,77,8.84,2.58,Yes,8,88,2.49,Yes,0,4285.95,7.93,Public,Positive,4,No,College,Moderate,Male,70,82072
21,91,7.66,4.71,No,9,74,6.72,Yes,2,2377.22,1.61,Private,Negative,2,No,,Near,Female,69,90206
27,62,5.07,9.5,Yes,5,63,2.76,Yes,4,9705.17,5.68,Public,Negative,4,No,High School,Near,Female,67,57422
20,65,4.06,1.2,No,6,74,1.06,Yes,0,6116.42,4.87,Private,Positive,3,No,College,Moderate,Male,62,79670
32,68,5.07,2.18,No,8,97,9.81,Yes,1,4162.65,4.1,Public,Positive,2,No,High School,Near,Male,68,33644
31,76,4.05,7.71,Yes,9,91,5.5,Yes,1,1074.89,6.82,Private,Neutral,4,No,Postgraduate,Near,Male,72,16008
19,94,2.67,4.93,No,8,51,4.7,Yes,3,4472.13,3.16,Private,Positive,5,No,Postgraduate,Near,Male,69,87541
26,74,2.76,1.38,No,5,89,0.25,Yes,3,7079.51,7.48,Private,Negative,2,No,High School,Near,Male,66,63139
